CustomerID,Age,Gender,Income,VisitFrequency,AverageSpend,PreferredCuisine,TimeOfVisit,GroupSize,DiningOccasion,MealType,OnlineReservation,DeliveryOrder,LoyaltyProgramMember,WaitTime,ServiceRating,FoodRating,AmbianceRating,HighSatisfaction
654,35,Male,83380,Weekly,27.829142002481408,Chinese,Breakfast,3,Business,Takeaway,0,1,1,43.52392853444247,2,5,4,0
655,19,Male,43623,Rarely,115.4086222968233,American,Dinner,1,Casual,Dine-in,0,0,0,57.524294460377256,5,5,3,0
656,41,Female,83737,Weekly,106.69377117040008,American,Dinner,6,Celebration,Dine-in,0,1,0,48.68262293174676,3,4,5,0
657,43,Male,96768,Rarely,43.508507728537204,Indian,Lunch,1,Celebration,Dine-in,0,0,0,7.552992639069949,4,5,1,0
658,55,Female,67937,Monthly,148.0846271884079,Chinese,Breakfast,1,Business,Takeaway,0,0,1,37.78904074149977,2,3,5,0
659,42,Female,28860,Monthly,111.06469580573007,Chinese,Dinner,8,Celebration,Takeaway,0,1,1,26.853297520593713,4,5,3,0
660,20,Female,131104,Weekly,120.23670672362614,Indian,Lunch,6,Business,Dine-in,0,0,0,7.927917127986914,5,4,1,0
661,51,Female,137882,Weekly,160.979098005899,Mexican,Dinner,6,Business,Dine-in,1,1,0,56.447209596819285,4,3,3,0
662,27,Male,149638,Weekly,56.55863192788398,Indian,Breakfast,5,Celebration,Takeaway,0,1,0,39.56818760841338,2,4,5,0
663,32,Female,136145,Weekly,65.75345485089946,Italian,Lunch,9,Casual,Takeaway,0,0,0,20.782469072397774,4,3,1,0
664,21,Male,79249,Monthly,39.23538252336576,American,Breakfast,5,Business,Takeaway,0,1,0,18.94857239916812,1,3,2,0
665,59,Male,94208,Weekly,132.99491822652053,Italian,Dinner,8,Casual,Dine-in,0,0,1,55.04547514948159,3,3,3,0
666,32,Female,143471,Monthly,156.13080832081667,American,Breakfast,4,Casual,Takeaway,0,1,0,4.710545698906536,5,2,4,0
667,69,Male,38433,Daily,46.13686494728669,Italian,Dinner,4,Business,Takeaway,0,1,1,20.243443099287216,1,4,3,0
668,58,Male,64870,Monthly,88.93909785381422,American,Lunch,2,Celebration,Dine-in,0,0,1,58.27164817228284,2,4,2,0
669,54,Female,135616,Rarely,112.00754119239575,American,Lunch,2,Business,Takeaway,1,0,0,2.328375335155366,4,4,3,0
670,59,Female,123325,Weekly,63.939239535459734,Chinese,Dinner,4,Casual,Takeaway,1,0,1,2.6735927480409294,3,5,5,1
671,42,Male,25569,Monthly,120.39019102991239,American,Dinner,3,Casual,Dine-in,0,0,1,54.93378361480987,1,3,3,0
672,26,Female,120447,Weekly,52.11032383395981,Mexican,Dinner,1,Casual,Takeaway,1,1,1,20.72625134788519,3,1,3,0
673,58,Male,70458,Rarely,197.37053413565985,Italian,Dinner,4,Casual,Takeaway,1,0,1,40.374425145013745,1,2,1,0
674,27,Female,41450,Weekly,14.67769736278374,Chinese,Dinner,5,Celebration,Dine-in,0,0,0,9.871496976096521,1,1,3,0
675,40,Female,85259,Monthly,61.45665859473126,Indian,Dinner,9,Business,Dine-in,0,1,1,12.834379234753246,3,2,5,0
676,20,Female,116507,Weekly,169.65781016129918,Chinese,Dinner,5,Celebration,Takeaway,0,0,0,12.328760225804682,4,4,5,0
677,51,Male,40666,Weekly,54.66875506129602,Mexican,Lunch,6,Casual,Takeaway,0,1,1,24.855225106192208,2,2,3,0
678,21,Male,62296,Weekly,161.18060367418758,Italian,Lunch,7,Casual,Takeaway,0,1,0,34.620110650025,3,3,3,0
679,40,Female,38099,Weekly,118.8142359169079,Chinese,Breakfast,1,Casual,Dine-in,1,1,1,20.895781235843174,3,2,1,0
680,51,Male,105609,Rarely,12.690320879002233,Chinese,Dinner,6,Business,Takeaway,1,0,0,24.074857619530405,5,1,5,0
681,68,Male,82470,Weekly,146.45272938499028,American,Breakfast,1,Celebration,Dine-in,1,0,1,5.359746295306276,2,4,1,1
